Month,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
January,630,"1,350",960,"1,150",920,"1,006",640,934,762,618,915,537,524,690,901,798,718,795,847,578,669,577,1017
February,770,"1,140","1,170","1,070",769,771,"1,164",539,495,367,405,243,347,410,679,452,416,941,468,452,322,434,
March,450,780,990,"1,110",602,737,651,385,367,206,197,254,170,337,159,238,200,373,237,374,126,354,
April,410,530,380,390,542,381,280,304,299,-291,-93,0,-51,100,73,60,124,195,59,32,99,275,
May,450,360,670,350,395,256,364,304,331,98,43,0,67,152,112,21,174,171,25,38,90,279,
June,590,950,"1,000",580,792,789,844,654,467,95,103,147,381,411,305,147,356,398,213,-45,154,580,
July,960,"1,430",980,"1,660",849,680,"1,171",768,517,311,211,221,715,498,364,705,797,610,685,333,445,665,
August,790,"1,310","1,230",837,563,927,822,565,89,67,208,254,450,330,585,691,780,207,398,347,294,525,
September,850,990,870,741,650,957,634,648,151,278,300,343,596,342,720,510,517,396,231,224,111,518,
October,530,640,450,495,358,348,487,361,128,263,172,189,234,276,225,323,373,162,16,81,13,532,
November,700,580,740,438,408,299,360,385,429,269,146,250,279,282,441,389,420,204,223,263,75,549,
December,900,"1,480",930,719,898,733,773,533,364,453,163,285,506,499,474,660,841,355,308,381,547,1051,
Kwh,"8,030","11,540","10,370","9,540","7,746","7,884","8,190","6,380","4,399","2,734","2,770","2,723","4,218","4,327","5,038","4,994","5,716","4,807","3,710","3,058","2,945","6,339","1,017"
Average,669,962,864,795,646,657,683,532,367,228,231,227,352,361,420,416,476,401,309,255,245,528,85
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,798,900,,,,,,
,,,,,,,,,,,,,,,,452,600,,,,,,
,,,,,,,,,,,,,,,,238,400,,,,,,
,,,,,,,,,,,,,,,,60,500,,,,,,
,,,,,,,,,,,,,,,,21,600,,,,,,
,,,,,,,,,,,,,,,,147,700,,,,,,
,,,,,,,,,,,,,,,,705,900,,,,,,
,,,,,,,,,,,,,,,,691,900,,,,,,
,,,,,,,,,,,,,,,,510,800,,,,,,
,,,,,,,,,,,,,,,,323,700,,,,,,
,,,,,,,,,,,,,,,,389,600,,,,,,
,,,,,,,,,,,,,,,,660,800,,,,,,
,,,,,,,,,,,,,,,,4994,8400,,,,,,
